Heuristic,Total_Experiments,Successful_Runs,Success_Rate_%,Wall_Time_Mean_s,Wall_Time_Median_s,Wall_Time_Std_s,Wall_Time_Min_s,Wall_Time_Max_s,CPU_Time_Mean_s,CPU_Time_Median_s,CPU_Time_Std_s,Memory_Mean_MB,Memory_Median_MB,Memory_Std_MB,Memory_Min_MB,Memory_Max_MB,Search_Nodes_Mean,Search_Nodes_Median,Search_Nodes_Std,Search_Nodes_Min,Search_Nodes_Max,Plan_Length_Mean,Plan_Length_Median,Plan_Length_Std,Makespan_Mean,Makespan_Median,Makespan_Std,Domains_Tested,Problems_Tested,Agent_Count_Range
Inc_DTG_Only,13,13,100.0,4.927239491389348,1.90208101272583,11.787001737545848,0.1995699405670166,43.864218950271606,1976.526937678,28.935130100000002,6976.253569322598,144.3689903846154,143.734375,74.72916091450229,49.453125,321.921875,64.6923076923077,33.0,91.72820778018124,0,339,14.076923076923077,18.0,9.214676142451042,9.846153846153847,10.0,6.7062924909639134,5,8,2-8
DTG_Only,13,13,100.0,11.87979241517874,1.095824956893921,38.0705514347514,0.2239990234375,138.53679180145264,12015.976604223617,16.722094624,43229.87381158186,166.30769230769232,134.65625,166.09882160263948,59.171875,699.796875,132.46153846153845,24.0,369.87939822429854,1,1360,11.846153846153847,14.0,8.72588251359286,8.76923076923077,10.0,6.7596085457892965,5,8,2-8
DTG+Landmarks,13,13,100.0,4.889137139687171,1.9545350074768066,11.684088366066929,0.1908097267150879,43.49195909500122,1791.4633405527695,29.646655121000002,6300.545159377967,144.69951923076923,150.21875,73.5185186271446,49.890625,312.46875,64.6923076923077,33.0,91.72820778018125,0,339,14.076923076923077,18.0,9.214676142451042,9.846153846153847,10.0,6.7062924909639134,5,8,2-8
FF_Heuristic,13,8,61.53846153846154,382.55607438087463,4.716241955757141,630.6968701135105,0.18901300430297852,1432.2470090389252,4752687.262046205,172.8667557365,10138933.382164283,597.4375,176.0390625,794.5074584248694,51.65625,2058.34375,38066.375,1271.5,64387.595797277376,1,181780,7.5,7.5,7.671840904055744,5.75,6.5,5.67576300723398,5,8,2-8
Inc_DTG+Landmarks,13,6,46.15384615384615,55.9354575475057,6.903655052185059,115.21594578052351,0.1959388256072998,289.8176529407501,56248.92013464783,409.989964936,135388.04312643877,197.03125,167.6640625,156.68313154560545,51.453125,452.921875,16093.5,1866.0,33603.08989810312,1,84359,6.666666666666667,6.5,6.97614984548545,5.0,5.5,4.560701700396552,5,8,2-8
