Heuristic,Memory_Mean_MB,Memory_Median_MB,Memory_Std_MB,Search_Nodes_Mean,Search_Nodes_Median,Search_Nodes_Std
Centroids,144.3689903846154,143.734375,74.72916091450229,64.6923076923077,33.0,91.72820778018124
DTG,166.30769230769232,134.65625,166.09882160263948,132.46153846153845,24.0,369.87939822429854
DTG+Landmarks,144.69951923076923,150.21875,73.5185186271446,64.6923076923077,33.0,91.72820778018124
MCS,597.4375,176.0390625,794.5074584248694,38066.375,1271.5,64387.595797277376
Centroids,197.03125,167.6640625,156.68313154560545,16093.5,1866.0,33603.08989810312
