Heuristic,Total_Experiments,Successful,Success_Rate,Avg_Time,Median_Time,Avg_Memory,Avg_Plan_Length,Avg_Search_Nodes,Domains_Tested,Problems_Tested
DTG+Landmarks,13,13,1.0,4.889137139687171,1.9545350074768066,144.69951923076923,14.076923076923077,64.6923076923077,5,8
Inc_DTG+Landmarks,13,13,1.0,4.927239491389348,1.90208101272583,144.3689903846154,14.076923076923077,64.6923076923077,5,8
DTG,13,13,1.0,11.87979241517874,1.095824956893921,166.30769230769232,11.846153846153847,132.46153846153845,5,8
MCS,13,8,0.6153846153846154,382.55607438087463,4.716241955757141,597.4375,7.5,38066.375,5,8
Centroids,13,6,0.46153846153846156,55.9354575475057,6.903655052185059,197.03125,6.666666666666667,16093.5,5,8
