Heuristic,Success_Rate_%,Plan_Length_Mean,Plan_Length_Median,Plan_Length_Std,Makespan_Mean,Makespan_Median
Inc_DTG_Only,100.0,14.076923076923077,18.0,9.214676142451042,9.846153846153847,10.0
DTG_Only,100.0,11.846153846153847,14.0,8.72588251359286,8.76923076923077,10.0
DTG+Landmarks,100.0,14.076923076923077,18.0,9.214676142451042,9.846153846153847,10.0
FF_Heuristic,61.53846153846154,7.5,7.5,7.671840904055744,5.75,6.5
Inc_DTG+Landmarks,46.15384615384615,6.666666666666667,6.5,6.97614984548545,5.0,5.5
